run_id,created_at_utc,split,model,macro_auc,public_lb_auc,train_minutes,cost_usd,per_label_auc,notes
rules-v0-gold58,2026-08-14T01:30:27.949557+00:00,gold58,rules-v0,0.71067491,,,,"{'ACL': 0.8688725490196079, 'MCL': 0.8979591836734694, 'Medial Meniscus': 0.8629807692307693, 'Lateral Meniscus': 0.8236024844720496, 'Medial OA': 0.5403100775193799, 'Lateral OA': 0.5174081237911026, 'PF OA': 0.7001287001287001, 'Effusion': 0.5919254658385094, 'Synovitis': 0.581242532855436, ""Baker's"": 0.7771739130434783, 'Contusion': 0.6963562753036437, 'Fracture': 0.6701388888888888}",acc@0.5
sonnet-v1-gold58,2026-08-14T16:28:43.941878+00:00,gold58,sonnet-subagent-v1,0.82299533,,,0.00,"{'ACL': 0.90625, 'MCL': 0.909297052154195, 'Medial Meniscus': 0.8990384615384616, 'Lateral Meniscus': 0.8254658385093168, 'Medial OA': 0.8736434108527131, 'Lateral OA': 0.809477756286267, 'PF OA': 0.8243243243243243, 'Effusion': 0.6521739130434783, 'Synovitis': 0.6762246117084827, ""Baker's"": 0.9130434782608695, 'Contusion': 0.7550607287449392, 'Fracture': 0.8319444444444445}","claude-code subscription path, full gold-58"
sonnet-v1-full-corpus,2026-08-15T16:10:54.509206+00:00,gold58,sonnet-v1-final,0.82299533,,,0.00,"{'ACL': 0.90625, 'MCL': 0.909297052154195, 'Medial Meniscus': 0.8990384615384616, 'Lateral Meniscus': 0.8254658385093168, 'Medial OA': 0.8736434108527131, 'Lateral OA': 0.809477756286267, 'PF OA': 0.8243243243243243, 'Effusion': 0.6521739130434783, 'Synovitis': 0.6762246117084827, ""Baker's"": 0.9130434782608695, 'Contusion': 0.7550607287449392, 'Fracture': 0.8319444444444445}","4407/4407 studies labeled, 0 errors"
sonnet-v1.1-effusion-fix,2026-08-15T22:58:31.449170+00:00,gold58,sonnet-v1.1,0.83355434,,,0.00,"{'ACL': 0.90625, 'MCL': 0.909297052154195, 'Medial Meniscus': 0.8990384615384616, 'Lateral Meniscus': 0.8254658385093168, 'Medial OA': 0.8736434108527131, 'Lateral OA': 0.809477756286267, 'PF OA': 0.8243243243243243, 'Effusion': 0.7788819875776397, 'Synovitis': 0.6762246117084827, ""Baker's"": 0.9130434782608695, 'Contusion': 0.7550607287449392, 'Fracture': 0.8319444444444445}",audit-driven Effusion severity downgrade (868 studies)
sonnet-v1.2-severity-fixes,2026-08-15T23:16:40.215305+00:00,gold58,sonnet-v1.2,0.83548884,,,0.00,"{'ACL': 0.90625, 'MCL': 0.909297052154195, 'Medial Meniscus': 0.9074519230769231, 'Lateral Meniscus': 0.8254658385093168, 'Medial OA': 0.8736434108527131, 'Lateral OA': 0.809477756286267, 'PF OA': 0.8391248391248392, 'Effusion': 0.7788819875776397, 'Synovitis': 0.6762246117084827, ""Baker's"": 0.9130434782608695, 'Contusion': 0.7550607287449392, 'Fracture': 0.8319444444444445}",PF OA(-323)+MedMen(-122) severity downgrades; 7 gold labels flagged suspect by audit
fold0-dinov2-v1.1labels,2026-08-16T08:00:53.223396+00:00,fold0-oof,dinov2s-slot-attn,0.80391629,,,0.00,"{'ACL': 0.7361913448869971, 'MCL': 0.7854476291578203, 'Medial Meniscus': 0.8333385465540611, 'Lateral Meniscus': 0.7215841873695684, 'Medial OA': 0.8427536722398971, 'Lateral OA': 0.7868617683686177, 'PF OA': 0.7686084142394822, 'Effusion': 0.7967159592855771, 'Synovitis': 0.8333450046685341, ""Baker's"": 0.8493392070484581, 'Contusion': 0.8102641352129756, 'Fracture': 0.8825455832890777}",first GPU run; P100; 10ep; v1.1 labels; pre-reg window 0.72-0.80 HIT
LB-1-fold0-v11,2026-08-16T19:34:18.873580+00:00,public-lb,dinov2s-slot-attn-fold0,0.80400000,0.84000000,,0.00,,"FIRST LB SCORE. CV 0.804 -> LB 0.840 (+0.036, gold-58 enrichment + pseudo-label noise in CV)"
LB-2-fold0-v13,2026-08-17T01:19:34.323602+00:00,public-lb,dinov2s-slot-attn-fold0-v13,0.80550000,0.83700000,,0.00,,referee REJECT corroborated by LB (-0.003 vs v1.1); CV->LB offset stable ~+0.03; v1.1 = baseline
